RAPL Difference (W), Elapsed Time (ms)
7660493
16184145
20126691
23484229
27122758
30522347
33822226
37188018
40492092
43831367
47063423
50448029
53797526
57105445
60367819
63690951
66978729
70332224
73566691
76839227
